0 10
-0.919734 9.60746
-1.8335 9.20122
-2.3165 10.0768
-3.24631 10.4449
-2.61382 11.2195
-1.69504 11.6142
-2.38714 10.8924
-2.96534 11.7083
-3.65382 10.9831
-2.70799 10.6584
-3.69263 10.4837
-2.74452 10.1658
-2.23678 11.0273
-1.32676 10.6127
-2.0226 11.3309
-2.69171 10.5877
-1.73544 10.8802
-0.754647 10.6851
-0.317019 9.78598
0.297531 8.99711
1.16797 9.48938
0.549627 8.70347
0.899359 7.76662
1.81659 7.36826
2.81456 7.43195
3.40553 8.23865
2.60726 7.63635
2.52106 8.63262
1.52138 8.65797
1.22422 7.70314
0.450914 7.06911
1.45 7.11184
0.607876 7.65112
-0.286201 7.20321
-0.580796 6.24759
0.102377 5.51733
-0.75885 6.02555
0.00536105 6.67052
0.997937 6.54889
1.90127 6.97784
1.50319 7.89519
0.574706 8.26656
0.211722 9.19836
0.468351 8.23185
0.987076 7.3769
1.54378 8.20761
1.01771 9.05806
0.432777 9.86914
1.41767 10.0423
1.48005 9.04426
2.47889 9.09231
1.52749 9.40028
2.35555 9.96092
3.35145 10.0514
2.41987 10.4149
1.44178 10.6231
